locality,region,property_type,subtype_property,price,type_of_sale,number_of_rooms,living_area,kitchen_fully_equiped,is_furnished,has_open_fire,has_terrace,terrace_area,has_garden,garden_surface,habitable_surface,plot_land_surface,number_of_facades,has_swimming_pool,building_state
Hemiksem,Flanders,APARTMENT,APARTMENT,269000,residential_sale,3,,None,No,Yes,Yes,4,No,,108,,,No,None
CLAVIER-STATION,Wallonie,HOUSE,HOUSE,299000,residential_sale,4,20,No,No,Yes,Yes,60,Yes,547,262,739,4,No,GOOD
Zulte,Flanders,APARTMENT,APARTMENT,419990,residential_sale,3,16,No,No,No,Yes,29,Yes,,132,,,No,AS_NEW
Deinze,Flanders,APARTMENT,APARTMENT,250000,residential_sale,1,12,Yes,No,No,Yes,10,Yes,,63,,4,No,AS_NEW
Deinze,Flanders,APARTMENT,APARTMENT,419990,residential_sale,3,16,No,No,No,Yes,29,Yes,,132,,,No,AS_NEW
Hamme,Flanders,HOUSE,HOUSE,250000,residential_sale,2,,None,No,Yes,No,,Yes,,81,,,No,None
Kruisem,Flanders,APARTMENT,APARTMENT,419990,residential_sale,3,16,No,No,No,Yes,29,Yes,,132,,,No,AS_NEW
Halanzy,Wallonie,HOUSE,HOUSE,235000,residential_sale,3,30,No,No,Yes,No,,Yes,,135,580,4,No,TO_RENOVATE
Ixelles,Brussels,APARTMENT,APARTMENT,650000,residential_sale,3,,None,No,Yes,Yes,4,No,,180,,,No,None
Kruisem,Flanders,APARTMENT,APARTMENT,419990,residential_sale,3,16,No,No,No,Yes,29,Yes,,132,,,No,AS_NEW
Seraing,Wallonie,HOUSE,HOUSE,174500,residential_sale,3,,None,No,No,Yes,30,Yes,172,115,,,No,None
Mechelen,Flanders,HOUSE,HOUSE,395000,residential_sale,6,,None,No,Yes,No,,No,,,,,No,None
Hulshout,Flanders,HOUSE,HOUSE,170000,residential_sale,3,,None,No,Yes,Yes,,Yes,,143,,,No,None
Mortsel,Flanders,HOUSE,HOUSE,375000,residential_sale,3,,None,No,Yes,No,,Yes,150,219,,,No,None
Knokke-Heist,Flanders,APARTMENT,APARTMENT,6950000,residential_sale,4,,None,No,No,Yes,,No,,206,,,No,None
Mechelen,Flanders,HOUSE,HOUSE,845000,residential_sale,5,,None,No,Yes,Yes,,No,,394,,,No,None
Dudzele,Flanders,HOUSE,HOUSE,775000,residential_sale,3,,None,No,No,Yes,,No,,188,,,No,None
Brasschaat,Flanders,HOUSE,HOUSE,249000,residential_sale,2,,None,No,No,No,,Yes,85,72,,,No,None
Brasschaat,Flanders,HOUSE,HOUSE,249000,residential_sale,2,,None,No,No,No,,Yes,85,72,,,No,None
Izegem,Flanders,HOUSE,HOUSE,155000,residential_sale,2,,None,No,No,No,,No,,122,,,No,None
Oostende,Flanders,HOUSE,HOUSE,322000,residential_sale,2,,None,No,No,No,,No,,200,,,No,None
Assebroek,Flanders,APARTMENT,APARTMENT,245000,residential_sale,2,,None,No,No,No,,No,,80,,,No,None
Halle,Flanders,HOUSE,HOUSE,375000,residential_sale,3,,None,No,No,Yes,40,No,,168,,,No,None
Gent,Flanders,APARTMENT,APARTMENT,395000,residential_sale,2,,None,No,No,No,,No,,84,,,No,None
Huy,Wallonie,APARTMENT,APARTMENT,149000,residential_sale,1,,None,No,Yes,Yes,10,Yes,,81,,,No,None
Crisnée,Wallonie,HOUSE,HOUSE,149000,residential_sale,2,18,No,No,No,Yes,16,No,,120,90,3,No,TO_RENOVATE
Ronse,Flanders,HOUSE,HOUSE,149000,residential_sale,2,12,No,No,No,Yes,10,Yes,50,155,150,2,No,TO_RENOVATE
