locality,postal_code,region,construction_year,energy_class,property_type,subtype_property,price,type_of_sale,number_of_rooms,living_area,kitchen_fully_equiped,is_furnished,has_open_fire,has_terrace,terrace_area,has_garden,garden_surface,habitable_surface,plot_land_surface,number_of_facades,has_swimming_pool,building_state
Lier,2500,Flanders,,None,APARTMENT,APARTMENT,239421,residential_sale,2,,None,0,0,1,,0,,80,,,0,None
Roux,6044,Wallonie,1850,C,HOUSE,HOUSE,170000,residential_sale,3,16,0,0,0,1,30,1,70,145,220,2,0,AS_NEW
Lier,2500,Flanders,,None,APARTMENT,APARTMENT,244370,residential_sale,2,,None,0,0,1,,0,,86,,,0,None
Ronse,9600,Flanders,1936,F,HOUSE,HOUSE,169000,residential_sale,3,16,0,0,0,0,,1,80,150,170,2,0,TO_BE_DONE_UP
Lier,2500,Flanders,,None,APARTMENT,APARTMENT,329520,residential_sale,2,,None,0,0,1,,0,,93,,,0,None
Herstal,4040,Wallonie,1953,G,HOUSE,HOUSE,169000,residential_sale,4,19,0,0,1,1,25,1,170,121,228,3,0,TO_BE_DONE_UP
Neufchateau,6840,Wallonie,1956,C,HOUSE,HOUSE,160000,residential_sale,3,30,0,0,0,0,,0,,150,66,3,0,JUST_RENOVATED
Chaudfontaine,4051,Wallonie,1971,C,HOUSE,HOUSE,159000,residential_sale,3,30,0,0,0,0,,0,,95,40,2,0,GOOD
Lier,2500,Flanders,,None,APARTMENT,APARTMENT,289940,residential_sale,2,,None,0,0,1,,0,,92,,,0,None
WANDRE,4020,Wallonie,,F,HOUSE,HOUSE,159000,residential_sale,2,30,0,0,1,1,35,0,,90,92,2,0,GOOD
Lier,2500,Flanders,,None,APARTMENT,PENTHOUSE,269186,residential_sale,2,,None,0,0,1,,0,,73,,,0,None
Lier,2500,Flanders,,None,APARTMENT,PENTHOUSE,376855,residential_sale,2,,None,0,0,1,,0,,94,,,0,None
Lier,2500,Flanders,,None,APARTMENT,PENTHOUSE,238493,residential_sale,1,,None,0,0,1,,0,,65,,,0,None
Herstal,4040,Wallonie,,E,HOUSE,HOUSE,155000,residential_sale,3,28,0,0,1,1,40,1,40,100,115,2,0,TO_BE_DONE_UP
Souvret,6180,Wallonie,1940,E,HOUSE,HOUSE,139000,residential_sale,3,25,0,0,0,1,20,1,460,120,710,2,0,GOOD
Lier,2500,Flanders,,None,APARTMENT,PENTHOUSE,238493,residential_sale,1,,None,0,0,1,,0,,64,,,0,None
La Louviere,7100,Wallonie,,F,HOUSE,HOUSE,135000,residential_sale,3,20,0,0,0,1,,0,,170,258,2,0,TO_BE_DONE_UP
Amay,4540,Wallonie,1918,E,HOUSE,HOUSE,135000,residential_sale,1,16,0,0,1,1,,1,,70,540,2,0,GOOD
Lier,2500,Flanders,,None,APARTMENT,PENTHOUSE,238493,residential_sale,1,,None,0,0,1,,0,,64,,,0,None
Huy,4500,Wallonie,,None,APARTMENT,APARTMENT,125000,residential_sale,3,,None,0,1,0,,0,,103,,,0,None
LA LOUVIÈRE,7100,Wallonie,1935,D,HOUSE,HOUSE,95000,residential_sale,2,30,0,0,1,1,,1,200,92,270,2,0,TO_RENOVATE
Courcelles,6180,Wallonie,1899,G,HOUSE,HOUSE,79000,residential_sale,2,31,0,0,1,0,,1,600,108,785,2,0,GOOD
COMBLAIN-FAIRON,4180,Wallonie,,None,HOUSE,HOUSE,25000,annuity_monthly_amount,3,,None,0,1,0,,0,,140,,,0,None
Waregem,8790,Flanders,,None,APARTMENT,APARTMENT,595000,residential_sale,2,,None,0,1,1,,0,,163,,,0,None
Watermael-Boitsfort,1170,Brussels,1966,E,HOUSE,HOUSE,745000,residential_sale,3,40,0,0,0,1,8,1,100,241,159,2,0,TO_BE_DONE_UP
Ixelles,1050,Brussels,1930,G,HOUSE,APARTMENT_BLOCK,995000,residential_sale,3,29,0,0,0,1,,0,,200,165,2,0,GOOD
Saint-Josse-ten-Noode,1210,Brussels,,None,APARTMENT,APARTMENT,188000,residential_sale,1,,None,1,0,0,,0,,62,,,0,None
Mechelen,2800,Flanders,,None,HOUSE,HOUSE,295000,residential_sale,2,,None,0,1,1,,1,,100,,,0,None
EERNEGEM,8480,Flanders,,None,HOUSE,HOUSE,239000,residential_sale,5,,None,0,1,0,,0,,291,,,0,None
Bruxelles,1120,Brussels,,None,APARTMENT,APARTMENT,299900,residential_sale,3,,None,0,0,1,4,0,,101,,,0,None
Tintigny,6730,Wallonie,,None,APARTMENT,DUPLEX,230000,residential_sale,2,,None,0,1,0,,0,,93,,,0,None
STEENHUFFEL,1840,Flanders,,None,HOUSE,HOUSE,545000,residential_sale,4,,None,0,1,1,,1,,236,,,0,None
Tintigny,6730,Wallonie,,None,APARTMENT,DUPLEX,230000,residential_sale,2,,None,0,1,0,,0,,99,,,0,None
Zedelgem,8210,Flanders,,None,HOUSE,HOUSE,220000,residential_sale,3,,None,0,1,0,,0,,125,,,0,None
DE KLINGE,9170,Flanders,1958,C,HOUSE,HOUSE,425000,residential_sale,5,54,0,0,1,1,31,1,,234,823,4,0,GOOD
Fosses-la-Ville,5070,Wallonie,,F,HOUSE,HOUSE,175000,residential_sale,2,36,0,0,1,1,15,0,,130,127,3,0,JUST_RENOVATED
Woluwe-Saint-Pierre,1150,Brussels,,None,HOUSE,TOWN_HOUSE,670000,residential_sale,3,,None,0,1,1,40,1,250,,,,0,None
